OrderID,Date,Store,Product,Category,Units,UnitPrice,Revenue,Channel
SO-200001,2025-03-04,Whitefield,Running Shoes,Footwear,3,2999,8997,Offline
SO-200002,2025-05-01,JP Nagar,Watch,Accessories,2,5999,11998,Offline
SO-200003,2024-01-15,JP Nagar,Backpack,Accessories,3,1499,4497,Online
SO-200004,2024-08-25,Koramangala,Running Shoes,Footwear,2,2999,5998,Online
SO-200005,2025-02-20,Koramangala,Watch,Accessories,4,5999,23996,Offline
SO-200006,2024-04-28,Koramangala,Jeans,Apparel,3,1999,5997,Online
SO-200007,2024-05-07,Whitefield,Backpack,Accessories,1,1499,1499,Online
SO-200008,2025-02-14,Indiranagar,Jacket,Apparel,4,3499,13996,Online
SO-200009,2024-08-28,Indiranagar,Running Shoes,Footwear,1,2999,2999,Online
SO-200010,2025-08-17,Koramangala,Watch,Accessories,1,5999,5999,Offline
SO-200011,2025-02-01,HSR Layout,Jeans,Apparel,2,1999,3998,Offline
SO-200012,2025-02-23,HSR Layout,Cap,Accessories,3,499,1497,Offline
SO-200013,2024-11-21,HSR Layout,T-Shirt,Apparel,5,799,3995,Online
SO-200014,2025-05-22,Whitefield,Running Shoes,Footwear,1,2999,2999,Online
SO-200015,2025-06-18,JP Nagar,Jeans,Apparel,2,1999,3998,Offline
SO-200016,2025-09-29,Indiranagar,Jeans,Apparel,1,1999,1999,Offline
SO-200017,2024-12-06,HSR Layout,Jeans,Apparel,5,1999,9995,Online
SO-200018,2024-06-27,HSR Layout,Running Shoes,Footwear,4,2999,11996,Online
SO-200019,2025-06-16,Whitefield,Running Shoes,Footwear,2,2999,5998,Offline
SO-200020,2025-08-27,HSR Layout,Running Shoes,Footwear,1,2999,2999,Offline
SO-200021,2024-09-10,Indiranagar,T-Shirt,Apparel,2,799,1598,Offline
SO-200022,2025-02-21,Koramangala,T-Shirt,Apparel,4,799,3196,Offline
SO-200023,2024-09-21,Koramangala,Running Shoes,Footwear,3,2999,8997,Online
SO-200024,2024-03-12,Indiranagar,Running Shoes,Footwear,3,2999,8997,Offline
SO-200025,2025-05-05,HSR Layout,Jacket,Apparel,1,3499,3499,Online
SO-200026,2025-05-05,Indiranagar,Jeans,Apparel,1,1999,1999,Offline
SO-200027,2024-06-06,JP Nagar,T-Shirt,Apparel,3,799,2397,Offline
SO-200028,2025-05-03,Indiranagar,T-Shirt,Apparel,3,799,2397,Offline
SO-200029,2024-01-11,Indiranagar,Sneakers,Footwear,4,3999,15996,Offline
SO-200030,2025-08-30,Indiranagar,Running Shoes,Footwear,3,2999,8997,Offline
SO-200031,2024-09-20,Indiranagar,Jeans,Apparel,4,1999,7996,Online
SO-200032,2024-04-06,Koramangala,Running Shoes,Footwear,2,2999,5998,Offline
SO-200033,2024-03-14,HSR Layout,Backpack,Accessories,1,1499,1499,Online
SO-200034,2024-11-28,Indiranagar,Jeans,Apparel,5,1999,9995,Offline
SO-200035,2025-01-21,JP Nagar,Sneakers,Footwear,2,3999,7998,Offline
SO-200036,2025-05-31,Koramangala,Jeans,Apparel,1,1999,1999,Online
SO-200037,2025-02-11,Indiranagar,Cap,Accessories,2,499,998,Online
SO-200038,2024-11-17,Whitefield,Jacket,Apparel,1,3499,3499,Online
SO-200039,2024-10-29,Koramangala,Jacket,Apparel,6,3499,20994,Offline
SO-200040,2025-09-01,JP Nagar,Running Shoes,Footwear,3,2999,8997,Online
SO-200041,2025-06-22,Koramangala,Jacket,Apparel,2,3499,6998,Offline
SO-200042,2024-07-25,Koramangala,T-Shirt,Apparel,3,799,2397,Online
SO-200043,2024-04-20,Koramangala,Watch,Accessories,1,5999,5999,Offline
SO-200044,2025-04-03,Whitefield,Backpack,Accessories,1,1499,1499,Offline
SO-200045,2025-02-15,Indiranagar,T-Shirt,Apparel,1,799,799,Online
SO-200046,2024-02-13,HSR Layout,Jeans,Apparel,2,1999,3998,Offline
SO-200047,2025-03-13,Indiranagar,Backpack,Accessories,4,1499,5996,Online
SO-200048,2024-08-21,Koramangala,T-Shirt,Apparel,1,799,799,Offline
SO-200049,2025-09-11,Whitefield,T-Shirt,Apparel,2,799,1598,Offline
SO-200050,2025-09-12,Indiranagar,Jacket,Apparel,3,3499,10497,Offline
SO-200051,2024-11-09,Koramangala,T-Shirt,Apparel,6,799,4794,Online
SO-200052,2025-02-04,Koramangala,Sneakers,Footwear,2,3999,7998,Offline
SO-200053,2024-11-05,Whitefield,Running Shoes,Footwear,6,2999,17994,Offline
SO-200054,2024-06-19,Indiranagar,Watch,Accessories,4,5999,23996,Offline
SO-200055,2025-08-18,HSR Layout,T-Shirt,Apparel,2,799,1598,Online
SO-200056,2025-06-11,Indiranagar,Running Shoes,Footwear,3,2999,8997,Offline
SO-200057,2024-09-01,Whitefield,T-Shirt,Apparel,3,799,2397,Online
SO-200058,2025-02-15,Whitefield,T-Shirt,Apparel,4,799,3196,Offline
SO-200059,2024-06-27,JP Nagar,Sneakers,Footwear,4,3999,15996,Online
SO-200060,2024-08-08,HSR Layout,Sneakers,Footwear,1,3999,3999,Offline
SO-200061,2025-01-11,Koramangala,Cap,Accessories,1,499,499,Offline
SO-200062,2025-09-14,Whitefield,Running Shoes,Footwear,4,2999,11996,Online
SO-200063,2025-07-11,Koramangala,Running Shoes,Footwear,2,2999,5998,Offline
SO-200064,2025-01-14,HSR Layout,Sneakers,Footwear,1,3999,3999,Online
SO-200065,2025-03-18,HSR Layout,Jeans,Apparel,1,1999,1999,Online
SO-200066,2025-07-19,Indiranagar,T-Shirt,Apparel,2,799,1598,Offline
